objectid;nom_site;adresse;code_site;arrondissement;geo_shape;lat;lon
195;SQUARE CLAUDE NICOLAS LEDOUX;2, PLACE DENFERT ROCHEREAU;PARIS_WIFI_1415;75014;"{""type"": ""Point"", ""coordinates"": [2.331338819454327, 48.83431393479334]}";48,83431393;2,331338819
198;SQUARE JULIA BARTET;RUE JULIA BARTET;PARIS_WIFI_1418;75014;"{""type"": ""Point"", ""coordinates"": [2.303706409546912, 48.826321614966545]}";48,82632162;2,30370641
199;SQUARE SERMENT DE KOUFRA;30, AVENUE ERNEST REYER;PARIS_WIFI_1419;75014;"{""type"": ""Point"", ""coordinates"": [2.323442446123374, 48.82212873729243]}";48,82212874;2,323442446
200;BIBLIOTHEQUE ANDREE CHEDID - EX : BEAUGRENELLE;36, RUE EMERIAU;PARIS_WIFI_1501;75015;"{""type"": ""Point"", ""coordinates"": [2.286556960328885, 48.850217433198644]}";48,85021743;2,28655696
201;BIBLIOTHEQUE GUTENBERG;8, RUE DE LA MONTAGNE D'AULAS;PARIS_WIFI_1502;75015;"{""type"": ""Point"", ""coordinates"": [2.27868848309999, 48.84020442238606]}";48,84020442;2,278688483
203;BIBLIOTHEQUE YOURCENAR;41, RUE D ALLERAY;PARIS_WIFI_1504;75015;"{""type"": ""Point"", ""coordinates"": [2.303639471681494, 48.83696055909148]}";48,83696056;2,303639472
204;BIBLIOTHEQUE YOURCENAR;41, RUE D ALLERAY;PARIS_WIFI_1505;75015;"{""type"": ""Point"", ""coordinates"": [2.303510691732446, 48.836860495273]}";48,8368605;2,303510692
215;MUSEE MEMORIAL MARECHAL LECLERC;23, ALLEE DE LA DEUXIEME DIVISION BLINDEE;PARIS_WIFI_1516;75015;"{""type"": ""Point"", ""coordinates"": [2.319973246174122, 48.84049584440984]}";48,84049584;2,319973246
221;SQUARE CLOS FEUQUIERES;RUE DU CLOS FEUQUIERES;PARIS_WIFI_1523;75015;"{""type"": ""Point"", ""coordinates"": [2.290792876407069, 48.837064809647956]}";48,83706481;2,290792876
228;JARDIN DU TROCADERO;1, PLACE DU ONZE NOVEMBRE 1918;PARIS_WIFI_1604;75016;"{""type"": ""Point"", ""coordinates"": [2.289081201954822, 48.86267378751548]}";48,86267379;2,289081202
229;JARDIN DU TROCADERO;1, PLACE DU ONZE NOVEMBRE 1918;PARIS_WIFI_1605;75016;"{""type"": ""Point"", ""coordinates"": [2.287806938182505, 48.86180691090268]}";48,86180691;2,287806938
234;MUSEE D'ART MODERNE;11, AVENUE DU PRESIDENT WILSON;PARIS_WIFI_1610;75016;"{""type"": ""Point"", ""coordinates"": [2.297536276142483, 48.86476175345826]}";48,86476175;2,297536276
237;STADE COUBERTIN;82, RUE GEORGES LAFFONT;PARIS_WIFI_1614;75016;"{""type"": ""Point"", ""coordinates"": [2.255742987869287, 48.835495687789106]}";48,83549569;2,255742988
239;Stade Jean Bouin;28, AVENUE DU GENERAL SARRAIL;PARIS_WIFI_1616;75016;"{""type"": ""Point"", ""coordinates"": [2.252745774274091, 48.843556721711764]}";48,84355672;2,252745774
249;SQUARE DE LA VILLA ST-CROIX;32, RUE DE LA JONQUIERE;PARIS_WIFI_1710;75017;"{""type"": ""Point"", ""coordinates"": [2.324513089749357, 48.89408225823804]}";48,89408226;2,32451309
250;SQUARE DES BATIGNOLLES;PLACE CHARLES FILLION;PARIS_WIFI_1711;75017;"{""type"": ""Point"", ""coordinates"": [2.315830796407065, 48.88818436524355]}";48,88818437;2,315830796
251;SQUARE ANDRE ULMANN;17, BOULEVARD DE REIMS;PARIS_WIFI_1712;75017;"{""type"": ""Point"", ""coordinates"": [2.297786361864273, 48.8890312183032]}";48,88903122;2,297786362
260;MAIRIE  18;1, PLACE JULES JOFFRIN;PARIS_WIFI_1807;75018;"{""type"": ""Point"", ""coordinates"": [2.344626869280762, 48.89237285497451]}";48,89237286;2,344626869
262;MAISON DES ASSOCIATIONS DU 18;15, PASSAGE RAMEY;PARIS_WIFI_1809;75018;"{""type"": ""Point"", ""coordinates"": [2.347316754163082, 48.89006615700377]}";48,89006616;2,347316754
265;SQUARE LEON SERPOLLET;25, RUE DES CLOYS;PARIS_WIFI_1812;75018;"{""type"": ""Point"", ""coordinates"": [2.33913501753229, 48.89259525004576]}";48,89259525;2,339135018
266;SQUARE SAINTE-HELENE;41, RUE LETORT;PARIS_WIFI_1813;75018;"{""type"": ""Point"", ""coordinates"": [2.34276317400267, 48.8961473895306]}";48,89614739;2,342763174
269;ARCHIVES DE PARIS;18, BOULEVARD SERURIER;PARIS_WIFI_1901;75019;"{""type"": ""Point"", ""coordinates"": [2.406576762617432, 48.8789311190917]}";48,87893112;2,406576763
271;BIBLIOTHEQUE CRIMEE;42, RUE PETIT;PARIS_WIFI_1903;75019;"{""type"": ""Point"", ""coordinates"": [2.383101972068848, 48.88490083896982]}";48,88490084;2,383101972
291;ANTENNE JEUNE DAVOUT;94, BOULEVARD DAVOUT;PARIS_WIFI_2001;75020;"{""type"": ""Point"", ""coordinates"": [2.410252984820552, 48.85687129539025]}";48,8568713;2,410252985
292;BIBLIOTHEQUE COURONNES;66, RUE DES COURONNES;PARIS_WIFI_2002;75020;"{""type"": ""Point"", ""coordinates"": [2.385241863327687, 48.8701360019595]}";48,870136;2,385241863
293;BIBLIOTHEQUE LOUISE MICHEL;29, RUE DES HAIES;PARIS_WIFI_2003;75020;"{""type"": ""Point"", ""coordinates"": [2.401148596757769, 48.85324507111678]}";48,85324507;2,401148597
298;CENTRE SPORTIF LOUIS LUMIERE;30, RUE LOUIS LUMIERE;PARIS_WIFI_2008;75020;"{""type"": ""Point"", ""coordinates"": [2.411758307691723, 48.85906754348932]}";48,85906754;2,411758308
299;JARDIN ZAC REUNION;20, RUE DES HAIES;PARIS_WIFI_2009;75020;"{""type"": ""Point"", ""coordinates"": [2.401418776397979, 48.85445160460211]}";48,8544516;2,401418776
304;MAISON DES ASSOCIATIONS DU 20;1, RUE FREDERICK LEMAITRE;PARIS_WIFI_2014;75020;"{""type"": ""Point"", ""coordinates"": [2.391003412086226, 48.87349262672056]}";48,87349263;2,391003412
305;MAISON DU DEVELOPPEMENT ECONOMIQUE DU 20;31, RUE DE PIXERECOURT;PARIS_WIFI_2015;75020;"{""type"": ""Point"", ""coordinates"": [2.395749177773914, 48.87197504840814]}";48,87197505;2,395749178
309;PARC DE BELLEVILLE (PARIS NATURE MAISON DE L'AIR);27, RUE PIAT;PARIS_WIFI_2019;75020;"{""type"": ""Point"", ""coordinates"": [2.384932935587465, 48.87171808810535]}";48,87171809;2,384932936
320;CENTRE D'ANIMATION WANGARI MAATHAI;13-15 rue Mouraud;PARIS_WIFI_2030;75020;"{""type"": ""Point"", ""coordinates"": [2.4075482907460692, 48.85516783593179]}";48,85516784;2,407548291
321;BIBLIOTHEQUE CHARLOTTE DELBO;2, PASSAGE DES PETITS PERES;PARIS_WIFI_0201;75002;"{""type"": ""Point"", ""coordinates"": [2.340485678183343, 48.86645674249703]}";48,86645674;2,340485678
322;MAISON DES ASSOCIATIONS DU 11;8, RUE DU GENERAL RENAULT;PARIS_WIFI_1109;75011;"{""type"": ""Point"", ""coordinates"": [2.378483628861401, 48.86126329151107]}";48,86126329;2,378483629
5;MAISON DES ASSOCIATIONS DU 01;5BIS, RUE DU LOUVRE;PARIS_WIFI_0106;75001;"{""type"": ""Point"", ""coordinates"": [2.34119859232508, 48.86192912670549]}";48,86192913;2,341198592
6;JARDIN NELSON MANDELA;32 RUE BERGER;PARIS_WIFI_0107;75001;"{""type"": ""Point"", ""coordinates"": [2.344519827666296, 48.862518260508615]}";48,86251826;2,344519828
7;MAIRIE  02;8, RUE DE LA BANQUE;PARIS_WIFI_0202;75002;"{""type"": ""Point"", ""coordinates"": [2.340426614688592, 48.866879152818136]}";48,86687915;2,340426615
8;MAISON DES ASSOCIATIONS DU 02;23, RUE GRENETA;PARIS_WIFI_0203;75002;"{""type"": ""Point"", ""coordinates"": [2.350473783254162, 48.86510264448043]}";48,86510264;2,350473783
9;BIBLIOTHEQUE MARGUERITE AUDOUX (ex PORTEFOIN);8-12, RUE PORTEFOIN;PARIS-WIFI_0301;75003;"{""type"": ""Point"", ""coordinates"": [2.360069634850486, 48.86359835772685]}";48,86359836;2,360069635
18;BIBLIOTHEQUE ADMINISTRATIVE DE LA VILLE DE PARIS;5, RUE DE LOBAU;PARIS_WIFI_0402;75004;"{""type"": ""Point"", ""coordinates"": [2.352941594465364, 48.85631307205684]}";48,85631307;2,352941594
19;BIBLIOTHEQUE FORNEY;1, RUE DU FIGUIER;PARIS_WIFI_0403;75004;"{""type"": ""Point"", ""coordinates"": [2.359119835239923, 48.8534259399815]}";48,85342594;2,359119835
22;HOTEL D ALBRET;31, RUE DES FRANCS BOURGEOIS;PARIS_WIFI_0408;75004;"{""type"": ""Point"", ""coordinates"": [2.360889308711994, 48.857544855951176]}";48,85754486;2,360889309
28;MAIRIE  04 - BIBLIOTHEQUE ARTHUR RIMBAUD (ex BIBLIOTHEQUE BAUDOYER);2, PLACE BAUDOYER;PARIS_WIFI_0414;75004;"{""type"": ""Point"", ""coordinates"": [2.355629406251058, 48.85619041056645]}";48,85619041;2,355629406
36;SQUARE JEAN XXIII;RUE DU CLOITRE NOTRE DAME;PARIS_WIFI_0422;75004;"{""type"": ""Point"", ""coordinates"": [2.350833777478047, 48.8523605921778]}";48,85236059;2,350833777
37;SQUARE LOUIS XIII;30 PLACE DES VOSGES;PARIS_WIFI_0423;75004;"{""type"": ""Point"", ""coordinates"": [2.36594749988874, 48.85603014922386]}";48,85603015;2,3659475
39;MAISON DES ACTEURS DU PARIS DURABLE;21, rue des Blancs Manteaux;PARIS_WIFI_0425;75004;"{""type"": ""Point"", ""coordinates"": [2.356873650564868, 48.859046787124726]}";48,85904679;2,356873651
42;BIBLIOTHEQUE BUFFON;15 BIS, RUE BUFFON;PARIS_WIFI_0501;75005;"{""type"": ""Point"", ""coordinates"": [2.361800025024077, 48.842608073414226]}";48,84260807;2,361800025
43;BIBLIOTHEQUE DES LITTERATURES POLICIERES  (Bilipo);48, RUE DU CARDINAL LEMOINE;PARIS_WIFI_0502;75005;"{""type"": ""Point"", ""coordinates"": [2.351077958491997, 48.84636502499582]}";48,84636503;2,351077958
54;MAIRIE  06;78, RUE BONAPARTE;PARIS_WIFI_0602;75006;"{""type"": ""Point"", ""coordinates"": [2.3325929145874262, 48.850533617954646]}";48,85053362;2,332592915
60;ESPLANADE DES INVALIDES;1, RUE PAUL;PARIS_WIFI_0703;75007;"{""type"": ""Point"", ""coordinates"": [2.312697844053019, 48.861965200896165]}";48,8619652;2,312697844
61;JARDIN CATHERINE LABOURE;33, RUE DE BABYLONE;PARIS_WIFI_0704;75007;"{""type"": ""Point"", ""coordinates"": [2.320492504116278, 48.851424209485884]}";48,85142421;2,320492504
62;MAIRIE  07;116, RUE DE GRENELLE;PARIS_WIFI_0705;75007;"{""type"": ""Point"", ""coordinates"": [2.320221611856914, 48.85678938488591]}";48,85678938;2,320221612
63;MAISON DES ASSOCIATIONS DU 07;93, RUE SAINT DOMINIQUE;PARIS_WIFI_0706;75007;"{""type"": ""Point"", ""coordinates"": [2.307208178424366, 48.859567099927375]}";48,8595671;2,307208178
